sentence,entity_1,entity_2,relation_label,entity_1_original,entity_2_original
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,metabolic syndrome,ambiguous,Alzheimer's disease,metabolic syndrome
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia
"Normal cerebral oxygen consumption and lactate levels in patients with 
Alzheimer's disease and Lewy body dementia.",Alzheimer's disease,lewy body dementia,ambiguous,Alzheimer's disease,Lewy body dementia
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,lewy,associated_with,Alzheimer's disease,Lewy
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,dlbs,associated_with,Alzheimer's disease,DLBs
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,cognitive impairments,associated_with,Alzheimer's disease,cognitive impairments
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,neurodegenerative diseases,associated_with,Alzheimer disease,neurodegenerative diseases
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,amyotrophic lateral sclerosis,ambiguous,Alzheimer disease,amyotrophic lateral sclerosis
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,parkinson disease,ambiguous,Alzheimer disease,Parkinson disease
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,creutzfeldt-jakob disease,ambiguous,Alzheimer disease,Creutzfeldt-Jakob disease
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,lewy,ambiguous,Alzheimer disease,Lewy
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,dementia,ambiguous,Alzheimer disease,dementia
"Little is known about the extent to which patient self-perception of 
care experience is associated with costs, especially for people with Alzheimer 
disease and related dementias (ADRD).",Alzheimer's disease,dementias,ambiguous,"Alzheimer 
disease",dementias
"Little is known about the extent to which patient self-perception of 
care experience is associated with costs, especially for people with Alzheimer 
disease and related dementias (ADRD).",Alzheimer's disease,adrd,ambiguous,"Alzheimer 
disease",ADRD
"(14)Shiley-Marcos Alzheimer's Disease Research Center, University of California 
San Diego, La Jolla, California, USA.
(15)Department of Neurobiology and Behavior; Institute for Memory Impairments 
and Neurological Disorders, University of California, Irvine, California, USA.",Alzheimer's disease,memory impairments,ambiguous,"Alzheimer's Disease Research Center, University of California 
San Diego, La Jolla",Memory Impairments
"Adult child caregivers of older adults living with Alzheimer's 
disease and related dementias are at risk of burnout due to competing caregiving 
demands from multiple generations.",Alzheimer's disease,dementias,associated_with,"Alzheimer's 
disease",dementias
"This study investigates whether midlife cortisol levels predict 
Alzheimer's disease (AD) biomarker burden 15 years later, with particular 
attention to sex differences and menopausal status.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Extracellular Î²-amyloid protein (AÎ²) plaques are prominent pathological feature 
of Alzheimer's disease (AD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Cognitive 
function was measured using the Consortium to Establish a Registry for 
Alzheimer's Disease (CERAD) test, Digit Symbol Substitution Test (DSST), and 
Animal Fluency Test, while depression was assessed through the Patient Health 
Questionnaire-9 (PHQ-9).",Alzheimer's disease,depression,ambiguous,Alzheimer's Disease,depression
"Cognitive 
function was measured using the Consortium to Establish a Registry for 
Alzheimer's Disease (CERAD) test, Digit Symbol Substitution Test (DSST), and 
Animal Fluency Test, while depression was assessed through the Patient Health 
Questionnaire-9 (PHQ-9).",Alzheimer's disease,cerad,unrelated,Alzheimer's Disease,CERAD
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,depression,ambiguous,Alzheimer's disease,depression
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,anxiety,ambiguous,Alzheimer's disease,anxiety
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,schizophrenia,ambiguous,Alzheimer's disease,schizophrenia
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,autism spectrum disorder,ambiguous,Alzheimer's disease,autism spectrum disorder
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,bipolar disorder,ambiguous,Alzheimer's disease,bipolar disorder
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS
"Cognitive function was assessed using the 
Consortium to Establish a Registry for Alzheimer's disease (CERAD), the Animal 
Fluency Test (AFT), and the Digital Symbol Substitution Test (DSST).",Alzheimer's disease,cerad,unrelated,Alzheimer's disease,CERAD
"(#)Contributed equally

Alzheimer's disease (AD) significantly reduces the quality of life of patients 
and exacerbates the burden on their families and society.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Danggui Shaoyao San ameliorates Alzheimer's disease by regulating lipid 
metabolism and inhibiting neuronal ferroptosis through the AMPK/Sp1/ACSL4 
signaling pathway.",Alzheimer's disease,neuronal ferroptosis,associated_with,Alzheimer's disease,neuronal ferroptosis
"Alzheimer's disease (AD) is a neurodegenerative disorder 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Alzheimer's disease (AD) is a neurodegenerative disorder 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis.",Alzheimer's disease,neurodegenerative disorder,associated_with ,Alzheimer's disease,neurodegenerative disorder
"Alzheimer's disease (AD) is a neurodegenerative disorder 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's disease,cognitive decline
"Diagnostic performance of Alzheimer's disease blood biomarkers in a Brazilian 
cohort.

Borelli WV, Ferreira PCL, Brum WS, Ferrari-Souza JP, Carello-Collar G, Holz M, 
Tizeli V, Strelow MZ, Formoso C, Fagundes Chaves ML, Rocha A, Aguzzoli CS, 
Rohden F, Souza DG, Schumacher Schuh AF, Povala G, Bellaver B, Rosa-Neto P, 
Castilhos RM, Pascoal TA, Zimmer ER.",Alzheimer's disease,ferrari-souza jp,unrelated,Alzheimer's disease blood biomarkers,Ferrari-Souza JP
"Blood-based biomarkers (BBMs) have emerged as promising tools to enhance 
Alzheimer's disease (AD) diagnosis.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,dementias,ambiguous,Alzheimer's disease,dementias
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,idiopathic epilepsy,ambiguous,Alzheimer's disease,idiopathic epilepsy
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,multiple sclerosis,ambiguous,Alzheimer's disease,multiple sclerosis
"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), Alzheimer's disease (AD), and frontotemporal lobar degeneration (FTLD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), Alzheimer's disease (AD), and frontotemporal lobar degeneration (FTLD).",Alzheimer's disease,frontotemporal lobar degeneration,ambiguous,Alzheimer's disease,frontotemporal lobar degeneration
"We conducted a cross-sectional assessment of the effect of EQ and YoE 
on brain health in 7533 subjects from 20 countries, including healthy controls 
(HCs), Alzheimer's disease (AD), and frontotemporal lobar degeneration (FTLD).",Alzheimer's disease,ftld,ambiguous,Alzheimer's disease,FTLD
"It is a neurodegenerative illness-and the 
second most common type of dementia after Alzheimer's disease-that causes memory 
loss and severe problems in carrying out daily activities.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease-that,dementia
"It is a neurodegenerative illness-and the 
second most common type of dementia after Alzheimer's disease-that causes memory 
loss and severe problems in carrying out daily activities.",Alzheimer's disease,neurodegenerative illness-and,unrelated,Alzheimer's disease-that,neurodegenerative illness-and
"It is a neurodegenerative illness-and the 
second most common type of dementia after Alzheimer's disease-that causes memory 
loss and severe problems in carrying out daily activities.",Alzheimer's disease,"memory 
loss and severe problems in carrying out daily activities.",associated_with,Alzheimer's disease-that,"memory 
loss and severe problems in carrying out daily activities."
"Furthermore, emerging evidence suggests 
a connection between gut dysbiosis and neurodegenerative disorders such as 
Alzheimer's disease.",Alzheimer's disease,neurodegenerative disorders,associated_with,Alzheimer's disease,neurodegenerative disorders
"Furthermore, emerging evidence suggests 
a connection between gut dysbiosis and neurodegenerative disorders such as 
Alzheimer's disease.",Alzheimer's disease,dysbiosis,associated_with,Alzheimer's disease,dysbiosis
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,atrophy,associated_with,Alzheimer's disease,atrophy
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,brain atrophy,associated_with,Alzheimer's disease,Brain atrophy
"Brain atrophy over time, as measured by magnetic resonance imaging (MRI), has 
been shown to predict subsequent cognitive impairment among individuals who were 
cognitively normal when first evaluated, indicating that subtle brain atrophy 
associated with Alzheimer's disease (AD) may begin years before clinical 
symptoms appear.",Alzheimer's disease,cognitive impairment,associated_with,Alzheimer's disease,cognitive impairment
"Alzheimer Disease (AD) represents a growing global health concern 
with profound socioeconomic implications, with predictions indicating a 
potential 50% increase in AD cases in Italy over the next 30 years.",Alzheimer's disease,ad,equivalent,Alzheimer Disease,AD
"Clinical 
differentiation of LBD from Alzheimer's disease (AD) remains complex due to 
symptom overlap, yet approximately 25% of dementia cases are diagnosed as LBD 
postmortem, primarily identified by the presence of Î±-synuclein aggregates, tau 
tangles, and amyloid plaques.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Clinical 
differentiation of LBD from Alzheimer's disease (AD) remains complex due to 
symptom overlap, yet approximately 25% of dementia cases are diagnosed as LBD 
postmortem, primarily identified by the presence of Î±-synuclein aggregates, tau 
tangles, and amyloid plaques.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia
"doi: 10.1186/s12883-025-04192-7.

Potential association between allergic disease and risk of Alzheimer's disease: 
insight from genetic analysis.",Alzheimer's disease,allergic disease,associated_with,Alzheimer's disease,allergic disease
"Numerous evidence from observational studies indicated an association 
between allergic diseases and Alzheimer's Disease (AD).",Alzheimer's disease,ad,equivalent,Alzheimer's Disease,AD
"Numerous evidence from observational studies indicated an association 
between allergic diseases and Alzheimer's Disease (AD).",Alzheimer's disease,allergic diseases,associated_with,Alzheimer's Disease,allergic diseases
"vjohn@mednet.ucla.edu.
(#)Contributed equally

Decreased expression of sirtuin 1 (SirT1) has been implicated in Alzheimer's 
disease (AD), and as we previously reported, is related to transcriptional 
repression by the major risk factor for sporadic AD, apolipoprotein E4 (ApoE4).",Alzheimer's disease,ad,equivalent,"Alzheimer's 
disease",AD
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,huntington's disease,ambiguous,Alzheimer's disease,Huntington's disease
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,lewy,ambiguous,Alzheimer's disease,Lewy
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,Dementia
"Dementia 
encompasses Alzheimer's disease, Parkinson's disease, Huntington's disease, Lewy 
body dementia, mixed dementia, and various other diseases.",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease
"Among 
these, dichotic tests were identified as having the strongest association with 
cognitive decline, probable Alzheimer's disease, or dementia.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia
"Among 
these, dichotic tests were identified as having the strongest association with 
cognitive decline, probable Alzheimer's disease, or dementia.",Alzheimer's disease,cognitive decline,ambiguous,Alzheimer's disease,cognitive decline
"Microglia-mediated neuroinflammation plays a critical role in the onset and 
progression of Alzheimer's disease.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation
"The primary outcome was overall dementia 
incidence, including vascular dementia, Alzheimer's disease, and other subtypes.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia
"Reductions were observed in vascular 
dementia (0.8% vs. 2.0%; aHR 0.87), Alzheimer's dementia (1.1% vs. 3.2%; aHR, 
0.76), and all-cause mortality (6.8% vs. 15.4%; aHR, 0.92).",Alzheimer's disease,dementia,ambiguous,Alzheimer's dementia,dementia
"Secondary outcomes included 
dementia-related drug use and subtypes of dementia, such as Alzheimer's disease 
and vascular dementia.",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia
"Similar reductions were observed for 
dementia-related drug use (HR, 0.69; 95â? CI: 0.64-0.74; pâ?â?.001), Alzheimer's 
disease (HR, 0.53; 95â? CI: 0.48-0.60; pâ?â?.001), and vascular dementia (HR, 
0.52;",Alzheimer's disease,vascular dementia,ambiguous,"Alzheimer's 
disease",vascular dementia
"Advanced glycation end-products (AGEs) formation in proteins 
are involved in healthy aging and a variety of diseases including Alzheimer's 
disease, atherosclerosis, and diabetic complications.",Alzheimer's disease,atherosclerosis,ambiguous,"Alzheimer's 
disease",atherosclerosis
"Advanced glycation end-products (AGEs) formation in proteins 
are involved in healthy aging and a variety of diseases including Alzheimer's 
disease, atherosclerosis, and diabetic complications.",Alzheimer's disease,diabetic complications,ambiguous,"Alzheimer's 
disease",diabetic complications
"Blockage of CCL3 with neutralizing antibody reduces neuroinflammation and 
reverses Alzheimer disease phenotypes.",Alzheimer's disease,neuroinflammation,ambiguous,Alzheimer disease,neuroinflammation
"Electronic address: xiehengge@163.com.cn.

BACKGROUND: Accumulating evidence indicates that neuroinflammation is involved 
in the pathogenesis of Alzheimer's disease (AD).",Alzheimer's disease,ad,equinalent,Alzheimer's disease,AD
"Electronic address: xiehengge@163.com.cn.

BACKGROUND: Accumulating evidence indicates that neuroinflammation is involved 
in the pathogenesis of Alzheimer's disease (AD).",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation
"Furthermore, BSP 
supplementation enhances resistance to H2O2-induced oxidative and starvation 
stresses, attenuates the lead (Pb)-induced toxicity, and delays the onset of 
Alzheimer's phenotypes in flies.",Alzheimer's disease,toxicity,ambiguous,Alzheimer's phenotypes in flies.,toxicity
"Alzheimer's disease (AD) represents a progressive neurodegenerative disorder 
marked by complex pathologies.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"Alzheimer's disease (AD) represents a progressive neurodegenerative disorder 
marked by complex pathologies.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder
"The authors 
declare the following financial interests/personal relationships which may be 
considered as potential competing interests: PCD has received grant support by 
the Medical Research Council, the Lewy Body Society, Alzheimerâs Society and 
Alzheimer's Research UK.",Alzheimer's disease,pcd,unrelated,,PCD
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,ad,equivalent,Alzheimer disease,AD
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,vad,ambiguous,Alzheimer disease,VaD
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,dementia,ambiguous,Alzheimer disease,dementia
"This 
study aimed to determine whether MetS and its individual components increase the 
risk of YOD, including all-cause dementia, Alzheimer disease (AD), and vascular 
dementia (VaD).",Alzheimer's disease,yod,associated_with,Alzheimer disease,YOD
"EPIC-Potsdam sub-cohort study: The early role of trace elements, oxidative 
stress, and anthropometrics in Alzheimer's disease and dementia onset.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia
"BackgroundSerum trace elements, anthropometric data, and oxidative stress 
markers are often altered in patients diagnosed with Alzheimer's disease (AD) or 
other types of dementia (OTD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD
"BackgroundSerum trace elements, anthropometric data, and oxidative stress 
markers are often altered in patients diagnosed with Alzheimer's disease (AD) or 
other types of dementia (OTD).",Alzheimer's disease,dementia,associated_with,Alzheimer's disease,dementia
"ObjectiveThis nested 
case-control study aims to investigate anthropometric data, serum trace 
elements, exchangeable copper (CuEXC), and oxidative stress markers to identify 
early associations with the risk of AD or OTD.MethodsFrom the European 
Prospective Investigation into Cancer and Nutrition-Potsdam cohort (DRKS-ID: 
DRKS00020593), the High Fat Diet, Microbiota, and Neuroinflammation in the 
Progression of Alzheimer study was generated.",Alzheimer's disease,cancer,unrelated,Alzheimer study,Cancer
"ObjectiveThis nested 
case-control study aims to investigate anthropometric data, serum trace 
elements, exchangeable copper (CuEXC), and oxidative stress markers to identify 
early associations with the risk of AD or OTD.MethodsFrom the European 
Prospective Investigation into Cancer and Nutrition-Potsdam cohort (DRKS-ID: 
DRKS00020593), the High Fat Diet, Microbiota, and Neuroinflammation in the 
Progression of Alzheimer study was generated.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer study,Neuroinflammation
"Background: Alzheimer's disease and related dementias (ADRD) are 
neurodegenerative disorders that afflict 1 in 9 older adults.",Alzheimer's disease,dementias,associated_with,Alzheimer's disease,dementias
"Background: Alzheimer's disease and related dementias (ADRD) are 
neurodegenerative disorders that afflict 1 in 9 older adults.",Alzheimer's disease,neurodegenerative disorders,associated_with,Alzheimer's disease,neurodegenerative disorders
