sentence,entity_1,entity_2,relation_label,entity_1_original,entity_2_original,input_text
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,mets,ambiguous,Alzheimer's disease,MetS,"The global rise in both metabolic syndrome ([E2] MetS [/E2]) and neurodegenerative diseases 
(NDs), particularly dementia and [E1] Alzheimer's disease [/E1] (AD) poses a growing health 
and socioeconomic burden."
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) poses a growing health 
and socioeconomic burden."
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,metabolic syndrome,ambiguous,Alzheimer's disease,metabolic syndrome,"The global rise in both [E2] metabolic syndrome [/E2] (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and [E1] Alzheimer's disease [/E1] (AD) poses a growing health 
and socioeconomic burden."
"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly dementia and Alzheimer's disease (AD) poses a growing health 
and socioeconomic burden.",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia,"The global rise in both metabolic syndrome (MetS) and neurodegenerative diseases 
(NDs), particularly [E2] dementia [/E2] and [E1] Alzheimer's disease [/E1] (AD) poses a growing health 
and socioeconomic burden."
"Normal cerebral oxygen consumption and lactate levels in patients with 
Alzheimer's disease and Lewy body dementia.",Alzheimer's disease,lewy body dementia,ambiguous,Alzheimer's disease,Lewy body dementia,"Normal cerebral oxygen consumption and lactate levels in patients with 
[E1] Alzheimer's disease [/E1] and [E2] Lewy body dementia [/E2]."
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) and dementia with Lewy bodies 
(DLBs)."
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,lewy,associated_with,Alzheimer's disease,Lewy,"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with [E1] Alzheimer's disease [/E1] (AD) and dementia with [E2] Lewy [/E2] bodies 
(DLBs)."
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,dlbs,associated_with,Alzheimer's disease,DLBs,"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with [E1] Alzheimer's disease [/E1] (AD) and dementia with Lewy bodies 
([E2] DLBs [/E2])."
"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with Alzheimer's disease (AD) and dementia with Lewy bodies 
(DLBs).",Alzheimer's disease,dementia,ambiguous,Alzheimer's disease,dementia,"In the current exploratory study, we investigated brain 
lactate, global and regional CBF, and global cerebral metabolic rate of oxygen 
(CMRO2) in patients with [E1] Alzheimer's disease [/E1] (AD) and [E2] dementia [/E2] with Lewy bodies 
(DLBs)."
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments."
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,neuroinflammation,associated_with,Alzheimer's disease,neuroinflammation,"[E1] Alzheimer's disease [/E1] (AD) is a progressive neurodegenerative disorder 
characterized by [E2] neuroinflammation [/E2] and cognitive impairments."
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,neurodegenerative disorder,associated_with,Alzheimer's disease,neurodegenerative disorder,"[E1] Alzheimer's disease [/E1] (AD) is a progressive [E2] neurodegenerative disorder [/E2] 
characterized by neuroinflammation and cognitive impairments."
"Alzheimer's disease (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and cognitive impairments.",Alzheimer's disease,cognitive impairments,associated_with,Alzheimer's disease,cognitive impairments,"[E1] Alzheimer's disease [/E1] (AD) is a progressive neurodegenerative disorder 
characterized by neuroinflammation and [E2] cognitive impairments [/E2]."
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,neurodegenerative diseases,associated_with,Alzheimer disease,neurodegenerative diseases,"This study examines the association between HCoVs and 
[E2] neurodegenerative diseases [/E2] like [E1] Alzheimer disease [/E1], Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease."
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,amyotrophic lateral sclerosis,ambiguous,Alzheimer disease,amyotrophic lateral sclerosis,"This study examines the association between HCoVs and 
neurodegenerative diseases like [E1] Alzheimer disease [/E1], Parkinson disease, Lewy body 
dementia, [E2] amyotrophic lateral sclerosis [/E2], and Creutzfeldt-Jakob disease."
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,parkinson disease,ambiguous,Alzheimer disease,Parkinson disease,"This study examines the association between HCoVs and 
neurodegenerative diseases like [E1] Alzheimer disease [/E1], [E2] Parkinson disease [/E2], Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease."
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,creutzfeldt-jakob disease,ambiguous,Alzheimer disease,Creutzfeldt-Jakob disease,"This study examines the association between HCoVs and 
neurodegenerative diseases like [E1] Alzheimer disease [/E1], Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and [E2] Creutzfeldt-Jakob disease [/E2]."
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,lewy,ambiguous,Alzheimer disease,Lewy,"This study examines the association between HCoVs and 
neurodegenerative diseases like [E1] Alzheimer disease [/E1], Parkinson disease, [E2] Lewy [/E2] body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease."
"This study examines the association between HCoVs and 
neurodegenerative diseases like Alzheimer disease, Parkinson disease, Lewy body 
dementia, amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease.",Alzheimer's disease,dementia,ambiguous,Alzheimer disease,dementia,"This study examines the association between HCoVs and 
neurodegenerative diseases like [E1] Alzheimer disease [/E1], Parkinson disease, Lewy body 
[E2] dementia [/E2], amyotrophic lateral sclerosis, and Creutzfeldt-Jakob disease."
"Little is known about the extent to which patient self-perception of 
care experience is associated with costs, especially for people with Alzheimer 
disease and related dementias (ADRD).",Alzheimer's disease,dementias,ambiguous,"Alzheimer 
disease",dementias,"Little is known about the extent to which patient self-perception of 
care experience is associated with costs, especially for people with [E1] Alzheimer 
disease [/E1] and related [E2] dementias [/E2] (ADRD)."
"Little is known about the extent to which patient self-perception of 
care experience is associated with costs, especially for people with Alzheimer 
disease and related dementias (ADRD).",Alzheimer's disease,adrd,ambiguous,"Alzheimer 
disease",ADRD,"Little is known about the extent to which patient self-perception of 
care experience is associated with costs, especially for people with [E1] Alzheimer 
disease [/E1] and related dementias ([E2] ADRD [/E2])."
"(14)Shiley-Marcos Alzheimer's Disease Research Center, University of California 
San Diego, La Jolla, California, USA.
(15)Department of Neurobiology and Behavior; Institute for Memory Impairments 
and Neurological Disorders, University of California, Irvine, California, USA.",Alzheimer's disease,memory impairments,ambiguous,"Alzheimer's Disease Research Center, University of California 
San Diego, La Jolla",Memory Impairments,"(14)Shiley-Marcos [E1] Alzheimer's Disease Research Center, University of California 
San Diego, La Jolla [/E1], California, USA.
(15)Department of Neurobiology and Behavior; Institute for [E2] Memory Impairments [/E2] 
and Neurological Disorders, University of California, Irvine, California, USA."
"Adult child caregivers of older adults living with Alzheimer's 
disease and related dementias are at risk of burnout due to competing caregiving 
demands from multiple generations.",Alzheimer's disease,dementias,associated_with,"Alzheimer's 
disease",dementias,"Adult child caregivers of older adults living with [E1] Alzheimer's 
disease [/E1] and related [E2] dementias [/E2] are at risk of burnout due to competing caregiving 
demands from multiple generations."
"This study investigates whether midlife cortisol levels predict 
Alzheimer's disease (AD) biomarker burden 15 years later, with particular 
attention to sex differences and menopausal status.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"This study investigates whether midlife cortisol levels predict 
[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) biomarker burden 15 years later, with particular 
attention to sex differences and menopausal status."
"Extracellular ÃÂ²-amyloid protein (AÃÂ²) plaques are prominent pathological feature 
of Alzheimer's disease (AD).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Extracellular ÃÂ²-amyloid protein (AÃÂ²) plaques are prominent pathological feature 
of [E1] Alzheimer's disease [/E1] ([E2] AD [/E2])."
"Cognitive 
function was measured using the Consortium to Establish a Registry for 
Alzheimer's Disease (CERAD) test, Digit Symbol Substitution Test (DSST), and 
Animal Fluency Test, while depression was assessed through the Patient Health 
Questionnaire-9 (PHQ-9).",Alzheimer's disease,depression,ambiguous,Alzheimer's Disease,depression,"Cognitive 
function was measured using the Consortium to Establish a Registry for 
[E1] Alzheimer's Disease [/E1] (CERAD) test, Digit Symbol Substitution Test (DSST), and 
Animal Fluency Test, while [E2] depression [/E2] was assessed through the Patient Health 
Questionnaire-9 (PHQ-9)."
"Cognitive 
function was measured using the Consortium to Establish a Registry for 
Alzheimer's Disease (CERAD) test, Digit Symbol Substitution Test (DSST), and 
Animal Fluency Test, while depression was assessed through the Patient Health 
Questionnaire-9 (PHQ-9).",Alzheimer's disease,cerad,unrelated,Alzheimer's Disease,CERAD,"Cognitive 
function was measured using the Consortium to Establish a Registry for 
[E1] Alzheimer's Disease [/E1] ([E2] CERAD [/E2]) test, Digit Symbol Substitution Test (DSST), and 
Animal Fluency Test, while depression was assessed through the Patient Health 
Questionnaire-9 (PHQ-9)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,depression,ambiguous,Alzheimer's disease,depression,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
[E2] depression [/E2], anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] ([E2] AD [/E2]), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,pd,ambiguous,Alzheimer's disease,PD,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), Parkinson's disease ([E2] PD [/E2]), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,anxiety,ambiguous,Alzheimer's disease,anxiety,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, [E2] anxiety [/E2], bipolar disorder, and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,schizophrenia,ambiguous,Alzheimer's disease,schizophrenia,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as [E2] schizophrenia [/E2], 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,autism spectrum disorder,ambiguous,Alzheimer's disease,autism spectrum disorder,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and [E2] autism spectrum disorder [/E2], and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,bipolar disorder,ambiguous,Alzheimer's disease,bipolar disorder,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, [E2] bipolar disorder [/E2], and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,parkinson's disease,ambiguous,Alzheimer's disease,Parkinson's disease,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), [E2] Parkinson's disease [/E2] (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS)."
"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as Alzheimer's disease (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis (ALS), and Multiple Sclerosis (MS).",Alzheimer's disease,als,ambiguous,Alzheimer's disease,ALS,"Furthermore, this review covers the encouraging 
results of supplementing sulfur-rich diets in many animal models and clinical 
investigations, along with their molecular targets in MD, such as schizophrenia, 
depression, anxiety, bipolar disorder, and autism spectrum disorder, and ND, 
such as [E1] Alzheimer's disease [/E1] (AD), Parkinson's disease (PD), Amyotrophic Lateral 
Sclerosis ([E2] ALS [/E2]), and Multiple Sclerosis (MS)."
"Cognitive function was assessed using the 
Consortium to Establish a Registry for Alzheimer's disease (CERAD), the Animal 
Fluency Test (AFT), and the Digital Symbol Substitution Test (DSST).",Alzheimer's disease,cerad,unrelated,Alzheimer's disease,CERAD,"Cognitive function was assessed using the 
Consortium to Establish a Registry for [E1] Alzheimer's disease [/E1] ([E2] CERAD [/E2]), the Animal 
Fluency Test (AFT), and the Digital Symbol Substitution Test (DSST)."
"(#)Contributed equally

Alzheimer's disease (AD) significantly reduces the quality of life of patients 
and exacerbates the burden on their families and society.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"(#)Contributed equally

[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) significantly reduces the quality of life of patients 
and exacerbates the burden on their families and society."
"Danggui Shaoyao San ameliorates Alzheimer's disease by regulating lipid 
metabolism and inhibiting neuronal ferroptosis through the AMPK/Sp1/ACSL4 
signaling pathway.",Alzheimer's disease,neuronal ferroptosis,associated_with,Alzheimer's disease,neuronal ferroptosis,"Danggui Shaoyao San ameliorates [E1] Alzheimer's disease [/E1] by regulating lipid 
metabolism and inhibiting [E2] neuronal ferroptosis [/E2] through the AMPK/Sp1/ACSL4 
signaling pathway."
"Alzheimer's disease (AD) is a neurodegenerative disorder 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) is a neurodegenerative disorder 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis."
"Alzheimer's disease (AD) is a neurodegenerative disorder 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis.",Alzheimer's disease,neurodegenerative disorder,equivalent,Alzheimer's disease,neurodegenerative disorder,"[E1] Alzheimer's disease [/E1] (AD) is a [E2] neurodegenerative disorder [/E2] 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis."
"Alzheimer's disease (AD) is a neurodegenerative disorder 
characterized by cognitive decline; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis.",Alzheimer's disease,cognitive decline,associated_with,Alzheimer's disease,cognitive decline,"[E1] Alzheimer's disease [/E1] (AD) is a neurodegenerative disorder 
characterized by [E2] cognitive decline [/E2]; recent studies suggest that neuronal 
ferroptosis plays a key role in its pathogenesis."
"Diagnostic performance of Alzheimer's disease blood biomarkers in a Brazilian 
cohort.

Borelli WV, Ferreira PCL, Brum WS, Ferrari-Souza JP, Carello-Collar G, Holz M, 
Tizeli V, Strelow MZ, Formoso C, Fagundes Chaves ML, Rocha A, Aguzzoli CS, 
Rohden F, Souza DG, Schumacher Schuh AF, Povala G, Bellaver B, Rosa-Neto P, 
Castilhos RM, Pascoal TA, Zimmer ER.",Alzheimer's disease,ferrari-souza jp,unrelated,Alzheimer's disease blood biomarkers,Ferrari-Souza JP,"Diagnostic performance of [E1] Alzheimer's disease blood biomarkers [/E1] in a Brazilian 
cohort.

Borelli WV, Ferreira PCL, Brum WS, [E2] Ferrari-Souza JP [/E2], Carello-Collar G, Holz M, 
Tizeli V, Strelow MZ, Formoso C, Fagundes Chaves ML, Rocha A, Aguzzoli CS, 
Rohden F, Souza DG, Schumacher Schuh AF, Povala G, Bellaver B, Rosa-Neto P, 
Castilhos RM, Pascoal TA, Zimmer ER."
"Blood-based biomarkers (BBMs) have emerged as promising tools to enhance 
Alzheimer's disease (AD) diagnosis.",Alzheimer's disease,ad,equivalent,Alzheimer's disease,AD,"Blood-based biomarkers (BBMs) have emerged as promising tools to enhance 
[E1] Alzheimer's disease [/E1] ([E2] AD [/E2]) diagnosis."
"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of Alzheimer's disease (AD) and other 
dementias, Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021.",Alzheimer's disease,dementias,ambiguous,Alzheimer's disease,dementias,"Utilizing data from the GBD Study 2021 on the incidence and 
disability-adjusted life-years (DALYs) of [E1] Alzheimer's disease [/E1] (AD) and other 
[E2] dementias [/E2], Parkinson's disease, multiple sclerosis, and idiopathic epilepsy in 
women from 1990 to 2021."
